,,,n0,n1,n2,n3,capital,marginal
generators,capital,CCGT,0.0,0.0,0.0,0.0,0.0,0.0
generators,capital,CSP,6299739019.070002,6299739019.070002,6299739019.070002,6299739019.070002,0.0,0.0
generators,capital,OCGT,1654771634.675995,1654771634.675995,1654771634.675995,1654771634.675995,0.0,0.0
generators,capital,biomass,1928387025.8950179,1928387025.8950179,1928387025.8950179,1928387025.8950179,0.0,0.0
generators,capital,coal,44780692000.0,44780692000.0,44780692000.0,44780692000.0,0.0,0.0
generators,capital,gas,642989000.0,642989000.0,642989000.0,642989000.0,0.0,0.0
generators,capital,hydro,0.0,0.0,0.0,0.0,0.0,0.0
generators,capital,hydro-import,0.0,0.0,0.0,0.0,0.0,0.0
generators,capital,load_shedding,0.0,0.0,0.0,0.0,0.0,0.0
generators,capital,nuclear,2200698000.0,2200698000.0,2200698000.0,2200698000.0,0.0,0.0
generators,capital,onwind,15916527009.956293,15916527009.956293,15916527009.956293,15916527009.956293,0.0,0.0
generators,capital,solar,4634546728.692723,43460472990.029884,4634546728.692723,78556218019.97186,0.0,0.0
generators,marginal,CCGT,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,CSP,10.634214192044988,10.44036113502589,9.782850115798755,10.470078767832325,0.0,0.0
generators,marginal,OCGT,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,biomass,4.2147235205405265,4.1365884292569985,3.7842193997391047,3.2393362677347444,0.0,0.0
generators,marginal,coal,30081872.282202967,12197981.90832439,30081836.77347115,14945411.75165144,0.0,0.0
generators,marginal,gas,319202.22313370864,319202.26660401816,319201.8912239744,445706.38314651547,0.0,0.0
generators,marginal,hydro,841401.8321598768,427128.7340048142,841403.0662713377,211516.5115291007,0.0,0.0
generators,marginal,hydro-import,1511722.3031726587,1489776.6420077346,1511722.93373233,475841.4770613025,0.0,0.0
generators,marginal,load_shedding,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,nuclear,741272.114570445,741280.3700319142,741281.1756642933,658944.6686039643,0.0,0.0
generators,marginal,onwind,5993239.2914386,5976954.189432337,5993248.990799831,0.0,0.0,0.0
generators,marginal,solar,4427817.078606183,4418032.886548957,4427819.9117485685,0.0,0.0,0.0
storage_units,capital,PHS,4075032000.0,4075032000.0,4075032000.0,4075032000.0,0.0,0.0
storage_units,capital,battery,0.0,0.0,0.0,0.0,0.0,0.0
storage_units,marginal,PHS,0.0,0.0,0.0,0.0,0.0,0.0
storage_units,marginal,battery,0.0,0.0,0.0,0.0,0.0,0.0
lines,capital,AC,89495071608.7942,89494953711.90915,89494842750.34904,89519118943.03151,0.0,0.0
C,C,G,,,,,0.0,0.0
C,S,P,,,,,0.0,0.0
O,C,G,,,,,0.0,0.0
b,i,o,,,,,0.0,0.0
c,o,a,,,,,0.0,0.0
g,a,s,,,,,0.0,0.0
h,y,d,,,,,0.0,0.0
h,y,d,,,,,0.0,0.0
l,o,a,,,,,0.0,0.0
n,u,c,,,,,0.0,0.0
o,n,w,,,,,0.0,0.0
s,o,l,,,,,0.0,0.0
